,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,2,1,1,2,3,3,2,3,3,3,1,2,2,2,2,2,2,2,0,1,3,3,2,3,2,3,2,2,0,0,0,0,0
1,2,3,1,3,3,1,3,3,3,2,1,1,2,2,3,1,2,2,3,2,1,0,0,0,1,0,0,0,2,2,0,0,0,0,2
2,2,2,2,2,3,3,1,2,2,3,3,3,2,2,2,2,3,2,2,2,2,1,3,2,1,1,3,2,3,2,1,1,2,2,2
3,2,0,0,0,1,2,2,2,2,3,2,2,2,1,3,3,2,3,2,2,3,2,3,3,1,2,2,2,1,1,0,2,1,2,1
4,1,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,3,1,2,1,2,2,2,2,3,1,1,1,1,2,2
5,0,2,2,2,2,3,3,3,1,3,2,2,3,3,3,2,2,3,3,2,1,3,3,2,2,2,2,2,2,1,2,2,0,2,2
6,2,2,1,3,3,1,2,2,2,2,1,3,2,3,2,0,2,2,2,1,2,3,1,2,2,3,0,2,1,1,1,2,2,1,0
7,2,2,2,2,2,2,1,1,2,2,2,2,1,0,2,3,2,2,2,1,1,2,2,2,2,3,2,1,2,2,2,2,2,2,2
8,1,2,3,1,2,2,2,2,1,2,2,2,3,3,2,1,2,2,1,2,0,2,3,2,2,2,1,3,1,2,2,3,2,1,3
9,0,0,0,0,0,0,2,2,3,2,2,3,2,2,3,2,3,3,3,0,2,2,2,3,3,3,1,2,2,3,1,3,0,3,3
10,3,3,3,2,2,2,2,1,2,1,1,3,1,2,2,2,2,0,2,3,2,2,2,1,2,3,1,2,1,1,2,2,1,1,2
11,2,3,2,2,1,3,2,3,2,2,2,2,2,2,1,2,1,1,2,2,2,1,0,2,2,1,2,1,2,2,2,2,2,2,2
12,2,2,2,1,2,2,3,1,2,1,2,3,1,2,1,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,2,3,2,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,1,1,2,2,3,3,1
