,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,1,3,3,3,2,1,3,1,3,2,3,3,3,2,1,2,1,2,3,3,2,3,2,2,0,3,0,2,3,2,2,3,1,2
1,2,2,3,3,3,3,3,3,1,2,1,3,3,3,2,2,1,2,2,2,2,2,2,2,0,2,1,3,3,3,2,3,3,3,2
2,0,0,0,0,0,0,0,2,3,2,2,2,2,3,1,2,2,3,3,1,2,3,2,2,2,2,3,2,1,2,1,2,3,2,3
3,0,1,2,2,1,1,0,1,2,2,2,2,2,2,0,0,0,2,2,2,3,2,2,1,1,2,1,3,2,1,1,2,3,2,3
4,2,2,3,3,1,2,2,2,1,2,2,2,2,1,3,3,2,1,1,1,2,2,2,2,2,3,1,3,2,3,2,3,1,2,2
5,0,0,0,2,2,3,2,3,3,0,3,3,3,2,3,2,2,2,2,0,2,3,1,2,2,3,2,1,3,3,3,3,2,2,1
6,1,1,2,2,2,1,2,3,2,1,2,2,2,3,2,2,3,2,2,2,3,2,1,2,2,1,1,1,3,3,0,0,0,0,2
7,1,2,1,2,2,2,2,0,3,1,2,3,3,2,2,3,3,1,1,2,1,1,2,1,2,2,3,3,1,1,2,2,2,3,3
8,2,3,2,3,2,3,3,2,2,2,1,2,3,3,3,2,2,2,2,2,3,2,2,2,0,1,3,3,3,2,1,1,3,1,2
9,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,1,2,3,3,2,0,1,3,3,2,1,0
10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2
11,1,1,2,2,1,1,2,2,3,2,2,2,2,2,1,3,3,2,0,2,3,1,2,2,3,2,3,2,1,3,3,3,1,3,2
12,2,2,2,1,2,3,2,1,3,2,2,2,2,3,2,2,2,2,3,2,0,0,0,2,3,2,3,2,2,1,2,2,2,2,1
13,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,3,1,2,2,3,2,1,2,1,2,2,1,2
14,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,0,3,2,2,2,2,2,1,3,2,3,1,2,0,0
15,1,2,1,3,3,2,2,2,2,2,2,2,2,1,1,0,0,2,3,2,0,2,1,2,1,3,3,2,2,2,1,3,2,2,3
16,2,2,2,1,2,2,2,1,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,1,1,2,3,2,2,2,1,0,2,2
17,2,3,1,3,2,2,2,2,2,1,3,1,0,2,1,2,1,2,2,2,2,1,1,0,1,1,2,2,2,3,2,2,2,1,2
18,0,0,0,0,0,0,1,2,2,2,2,3,2,2,2,1,2,2,2,2,0,2,2,1,2,1,2,2,1,0,1,2,3,1,2
19,2,2,3,2,3,2,1,2,3,2,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
20,0,0,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,0,1,1,1,2,0,2,2,1,2,2,1,2,1
21,1,2,3,3,3,1,2,1,2,2,2,2,2,1,2,2,3,2,2,3,3,3,1,2,2,2,2,1,2,0,1,2,1,3,3
22,1,2,3,2,1,2,2,2,2,2,0,3,2,2,1,2,2,1,2,3,2,2,1,1,2,1,2,3,0,2,2,2,2,2,1
23,0,3,1,1,2,2,2,3,3,2,3,2,2,1,1,1,2,1,2,2,1,3,3,3,2,2,2,2,1,1,2,1,1,1,3
24,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,2,3,3,3,3,2,2,3,2,1,2,2,1,1,1,1,0,2
25,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,1,2,1,1,1,1,3,2,2,3,3,2,0,1,2,2,3,2,2,3
26,0,0,2,2,2,2,1,3,2,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,3,2,2,2,2,1,2
27,0,2,3,3,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1
28,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,3,1,2,1,2,3,2,2
29,2,1,1,1,3,2,1,0,2,1,2,2,2,1,2,2,1,1,3,3,3,3,2,1,0,2,2,2,2,3,1,2,3,1,2
30,0,0,0,1,2,3,2,2,2,2,3,2,0,2,3,2,2,3,3,2,3,2,1,2,2,2,2,2,1,1,2,1,2,2,3
31,0,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
32,0,0,0,2,3,2,1,1,2,3,3,3,3,3,2,3,2,2,3,3,3,2,1,1,2,2,2,3,1,3,3,2,0,1,3
