,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,2,2,2,2,2,2,2,2,1,1,2,0,1,1,2,1,1,2,1,2,3,2,2,1,3,2,2,3,2,1,2,3,2,3,2
1,1,2,1,0,2,3,1,3,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
2,0,0,2,3,3,3,3,1,2,2,2,3,3,2,3,2,3,3,1,3,2,1,1,2,2,2,2,3,2,1,3,2,1,3,3
3,1,1,2,2,2,3,3,2,1,1,2,2,2,1,2,3,1,2,1,3,2,2,1,2,2,1,3,2,1,3,2,3,2,3,1
4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,3,2,2,2,3,1,2,2,1,2,3,2,3
5,0,0,0,0,0,0,1,2,2,3,2,1,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,2
6,1,1,2,2,3,3,2,3,2,3,2,2,2,2,0,0,2,2,3,2,2,3,3,3,3,3,2,3,2,2,3,2,2,3,2
7,0,0,0,0,2,3,3,3,2,2,3,2,3,2,3,3,2,2,1,2,3,2,1,2,3,3,2,3,0,2,3,2,2,2,1
8,0,0,1,2,2,2,3,2,3,3,2,2,2,1,2,3,0,3,3,2,1,3,3,3,1,2,2,2,2,2,1,2,2,1,2
9,1,2,3,2,2,2,2,2,2,2,3,2,0,2,2,2,2,1,1,2,3,2,2,2,3,0,2,3,2,2,2,2,3,3,3
10,0,0,0,0,2,1,3,3,2,2,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,2,1,3,2,2,3,2,3,1,2,3,2,3,3,1
12,2,1,3,1,2,2,2,1,2,1,3,1,2,0,1,1,2,2,2,3,2,2,3,2,3,2,2,2,1,3,1,2,3,1,2
13,1,2,2,1,2,2,2,3,2,2,2,1,1,3,2,3,1,2,2,1,1,0,2,1,1,2,2,2,1,1,1,2,2,2,2
14,2,2,2,2,2,3,3,1,2,2,1,2,3,3,3,2,3,2,2,2,3,2,2,2,0,2,3,2,2,3,2,3,2,2,2
15,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,1,2,2,2,1,2,2,2,3,2,2,2,3,1,3,0,0,2,1
16,0,0,0,0,0,0,0,2,3,2,2,3,2,2,2,3,3,1,1,3,2,1,2,2,1,2,2,1,2,1,3,3,3,2,3
17,1,2,2,2,2,1,2,2,2,2,3,2,2,3,3,2,2,3,3,1,2,2,2,2,1,2,3,2,1,3,2,1,2,0,1
18,1,2,1,1,3,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,1,1,3,2,2,1,2,2,2,3,3
19,1,3,2,2,1,2,2,3,3,3,3,1,2,2,2,2,1,2,2,3,1,2,2,1,2,1,3,3,0,2,3,2,1,2,1
20,0,0,0,2,2,3,2,2,2,3,2,2,3,3,3,2,1,3,2,1,2,3,3,3,2,2,1,2,1,1,1,2,2,3,1
21,0,3,2,0,2,1,1,1,3,1,1,2,2,1,1,0,1,3,1,3,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,2,2,2,2,2,3,2,2,1,3,2,3,3,2,2
23,2,2,2,2,1,3,1,3,2,2,2,1,3,2,3,3,3,3,2,1,2,3,3,3,3,3,2,2,2,3,0,0,2,3,2
24,0,0,0,3,2,2,2,2,2,1,1,2,2,2,3,1,1,2,1,2,1,2,0,2,2,1,2,2,1,1,2,2,2,2,2
25,0,2,2,3,2,3,2,2,2,1,2,0,1,3,2,3,1,2,2,2,2,2,0,0,0,0,0,1,0,0,2,3,1,2,3
26,1,1,3,2,1,3,2,2,3,2,3,2,2,2,3,2,2,1,2,2,2,3,2,3,2,0,2,2,0,2,2,1,2,3,3
27,2,2,2,1,2,3,3,2,2,3,3,3,2,3,2,2,2,2,3,3,2,0,1,2,2,1,1,2,1,1,1,1,2,2,2
28,1,2,3,2,3,3,2,1,2,2,2,1,2,2,3,3,1,2,2,1,2,2,2,2,2,2,2,2,1,0,3,3,0,2,2
29,0,1,3,1,2,2,3,2,3,3,2,3,2,2,2,1,3,3,3,1,2,2,2,2,2,2,3,2,1,2,2,2,3,3,2
30,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,3,2,3,2,2,3,3,2,3,3,2,2,2,2,2,1,2,1
